Song Name,Artist Name,Artist Credit,Genre,Lowest BPM,Highest BPM,Game Origin,Version,Removed ?,Licensed ?,Cover ?,SP-Beginner,SPB NC,SP-Normal,SPN NC,SP-Hyper,SPH NC,SP-Another,SPA NC,SP-Leggendaria,SPL NC,DP-Normal,DPN NC,DP-Hyper,DPH NC,DP-Another,DPA NC,DP-Leggendaria,DPL NC
IIDX,DJ SIMON,"Kiyotaka Sugimoto, Terry Thompson",Hiphop,110,110,IIDX,5th style,Yes,No,,n/a,n/a,3,283,4,428,4,550,n/a,n/a,3,283,4,428,4,550,n/a,n/a
Kiss me all night long,NAOKI J-STYLE feat. MIU,"Naoki Maeda, Miyuki Kunitake",J-Euro Pop,155,155,DMX,5th style,Yes,No,,n/a,n/a,5,471,6,629,7,746,n/a,n/a,5,480,6,620,7,703,n/a,n/a
LOVE AGAIN TONIGHT～for Mellisa mix～,NAOKI feat. PAULA TERRY,"Naoki Maeda, Paula Terry",Hyper Eurobeat,150,150,DDR,5th style,No,No,,n/a,n/a,4,385,5,501,6,561,n/a,n/a,4,466,5,555,n/a,n/a,n/a,n/a
Mobo★Moga,Orange Lounge,"Tomosuke Funaki, Shizue Tokui, Toshio Sakurai",French Pop,172,172,DMX,5th style,Yes,No,,n/a,n/a,5,363,6,512,7,592,n/a,n/a,4,364,5,501,9,645,n/a,n/a
outer wall,sampling masters MEGA,Shinji Hosoe,Techno,149,149,IIDX,5th style,No,No,,n/a,n/a,5,474,6,687,8,892,11,1096,5,474,7,736,10,902,n/a,n/a
OVER THE CLOUDS,Lala Moore,"Jun Wakita, Noriko Fukushima, Yuko Asai, Morinokijidogasshodan",House,128,128,IIDX,5th style,Yes,No,,n/a,n/a,3,292,5,573,7,765,n/a,n/a,3,291,5,515,9,879,n/a,n/a
QQQ,TaQ,Taku Sakakibara,Techno,155,155,IIDX,5th style,No,No,,n/a,n/a,5,621,8,961,10,1091,n/a,n/a,10,1016,12,1346,n/a,n/a,n/a,n/a
Radical Faith,TaQ,Taku Sakakibara,Big Beat,114,114,IIDX,5th style,No,No,,n/a,n/a,5,602,6,768,7,660,n/a,n/a,6,749,11,1255,10,1101,n/a,n/a
Real,Aya,Aya Sakuma,Drum'n'Bass,200,200,IIDX,5th style,No,No,,n/a,n/a,5,580,8,866,9,920,n/a,n/a,7,796,9,949,11,1139,n/a,n/a
Remember You,NM feat. Julie,"Naoki Maeda, Julie Ann Frost",Ballad,60,105,DDR,5th style,Yes,No,,n/a,n/a,2,187,4,409,n/a,n/a,n/a,n/a,3,234,4,409,n/a,n/a,n/a,n/a
RIDE ON THE LIGHT (HI GREAT MIX),Mr. T,Tomoyuki Uchida,Power Fusion,180,180,IIDX,5th style,No,No,,n/a,n/a,4,452,5,548,8,862,10,931,5,469,8,616,9,904,10,1010
RISLIM,ric,Akira Yamaoka,New Romantic,130,130,IIDX,5th style,No,No,,n/a,n/a,4,463,7,625,n/a,n/a,n/a,n/a,4,463,6,625,n/a,n/a,n/a,n/a
sometime,Aya,Aya Sakuma,Soundtrack,150,150,IIDX,5th style,No,No,,n/a,n/a,4,393,6,539,8,672,n/a,n/a,5,393,8,676,8,693,n/a,n/a
Spin the disc,good-cool,Tatsuya Furukawa,House,130,130,IIDX,5th style,No,No,,n/a,n/a,5,409,7,659,8,674,n/a,n/a,7,618,10,908,n/a,n/a,n/a,n/a
